File_Name,Gender,Age,Source_Excel
G07_D01_M_22_Shocked_C5.wav,Male,22.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G07_D02_M_50_Furious_C3.wav,Male,50.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G07_D03_F_40_Sad_C4.wav,Female,40.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G07_D04_F_20_Furious_C4.wav,Female,20.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G07_D05_C_15_Furious_C3.wav,Child,15.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G07_D05_C_15_Shocked_C5.wav,Child,15.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G07_D06_C_15_Sad_C4.wav,Child,15.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_07/Başlıksız e-tablo.xlsx
G09_D03_E_21_Furious_C3.wav,Male,21.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_09/Group_09_MetaData .xlsx
G09_D04_E_42_Sad_C4.wav,Male,42.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_09/Group_09_MetaData .xlsx
G12_D06_C_9_Happy_C2.wav,Child,9.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_12/Group_12_MetaData.xlsx
G15_D01_E_21_Uzgun_C4.wav,Male,21.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_15/Group_15_MetaData.xlsx
G15_D03_K_20_Uzgun_C4.wav,Female,20.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_15/Group_15_MetaData.xlsx
,Female,24.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Female,24.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Female,24.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Female,33.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Female,33.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Female,33.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Child,4.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Child,4.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Child,4.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Male,23.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Male,23.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Male,23.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Male,22.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Male,22.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
,Male,22.0,/Users/MONSTER/Desktop/signal/data/Dataset/GROUP_17/GRUP_17_METAVERİ.xlsx
